first_sign;second_sign;third_sign;fourth_sign;fifth_sign;sixth_sign;seventh_sign;eighth_sign;ninth_sign;tenth_sign;price_rub
90.13;5;84.18;1;8;1991;10.56;1;0;17;12663184
81.66;3;42.95;0;22;1984;7.98;1;1;13;11513893
28.12;1;72.8;0;11;1980;9.19;1;1;11;6628802
78.16;5;58.63;0;6;1968;14.81;1;0;18;11217659
32.75;4;82.23;0;10;1955;13.8;1;0;22;6045692
77.83;4;70.92;0;2;1986;10.8;1;1;17;12903133
22.25;4;72.9;1;25;1976;16.45;1;1;9;5618142
80.29;3;69.83;0;27;1980;5.53;0;0;3;11621345
61.13;5;61.34;1;5;1955;1.22;0;1;25;11360708
46.81;3;73.4;0;16;1954;9.96;0;0;7;7111673
86.88;3;76.03;0;24;1951;6.42;0;0;1;11143232
61.43;4;61.99;0;11;1991;1.06;1;0;19;10404786
81.64;5;43.11;1;21;2016;7.66;0;0;26;12489954
73.07;1;70.03;1;4;2023;3.86;0;1;16;10809762
85.98;4;62.27;1;16;2014;8.18;1;0;23;12428735
52.87;4;52.56;1;13;1973;5.47;1;0;10;9602037
43.22;2;61.98;1;27;1989;16.27;1;1;2;6732161
88.7;3;68.89;0;14;1973;11.75;0;0;23;10705735
67.19;5;47.8;0;5;2006;4.06;0;0;5;12035904
34.43;3;66.09;0;20;1960;5.64;1;0;14;6714156
43.93;2;40.05;1;24;1989;7.57;0;1;23;7655547
106.37;2;59.37;0;9;1963;4.98;1;0;23;13569082
69.57;1;39.13;1;1;2003;4.75;0;1;24;10006066
50.05;5;68.03;0;11;1986;8.82;1;0;17;9182742
39.91;4;67.97;0;24;2005;21.98;1;0;15;5934964
54.07;4;57.32;1;27;1996;4.23;0;1;25;10613406
65.59;4;49.46;1;30;1953;14.1;1;0;16;8857722
29.4;4;27.16;1;24;2006;6.41;0;0;15;7007900
70.84;1;26.05;0;14;1982;9.13;1;0;6;9578968
29.78;5;111.27;0;14;1991;9.55;0;0;23;6727704
73.66;5;25.62;1;22;1975;17.55;0;1;3;11199957
62.94;2;25.65;1;23;1981;6.87;1;0;7;9222611
71.7;2;49.05;1;26;1993;10.96;0;0;8;9385012
22.71;3;29.68;1;12;1992;15.33;0;0;11;5249845
71.64;3;57.17;1;2;1964;9.8;0;1;7;9975355
54.94;5;30.67;0;7;1971;9.51;0;1;7;10639305
29.68;5;48.02;0;27;1966;2.79;1;0;29;8154171
63.37;1;51.0;1;29;1998;5.81;0;1;1;8910204
38.43;1;60.84;1;2;1956;9.03;1;1;1;6490047
26.14;3;44.76;0;13;2005;4.74;1;0;21;6401035
37.62;4;88.24;0;2;2000;13.27;0;1;16;7815566
76.87;1;55.75;1;16;1958;0.26;0;1;14;10991269
75.83;2;58.18;0;19;1981;5.03;1;0;2;10306357
61.38;2;80.15;1;4;2018;14.34;0;1;19;8969451
37.35;2;56.7;0;28;1999;0.55;1;0;2;7725947
45.16;1;68.36;1;12;1998;0.59;1;1;22;9345111
87.13;1;59.9;0;9;2012;10.21;1;0;21;10478454
78.57;4;90.48;0;16;2004;12.96;0;0;16;10479924
52.52;2;69.11;0;12;1981;4.83;1;1;20;8188265
81.5;5;124.73;0;26;1971;1.88;0;0;21;12666414
44.1;3;50.09;1;3;2012;4.82;1;1;22;9116058
43.35;2;42.37;0;6;1969;3.99;1;0;25;8497399
59.73;5;24.22;0;11;1971;11.53;0;1;9;11089164
65.94;1;67.01;1;6;2024;13.95;1;1;2;8462553
83.22;4;61.12;1;12;1965;11.73;0;1;12;11201687
48.78;1;28.2;0;12;2000;11.02;1;0;17;6858776
70.91;4;89.95;0;8;1990;0.74;0;0;28;11737279
70.54;5;73.22;1;24;1974;4.74;1;0;3;10885690
87.26;4;21.1;1;15;1987;1.98;0;1;16;12693290
53.25;2;76.33;0;7;2006;7.07;0;0;23;8180920
43.08;5;24.11;0;16;2018;2.87;0;1;20;10550888
72.41;5;84.66;0;29;1970;7.89;1;0;28;11297276
89.5;3;67.05;0;24;2005;5.25;1;1;14;12349436
49.73;2;97.18;0;13;1952;6.13;1;1;3;9079625
26.21;4;15.29;0;17;2005;4.98;1;1;23;8834233
64.67;1;37.04;1;12;2018;4.53;1;0;28;9047963
36.2;3;51.91;0;25;1970;11.24;1;0;3;6148903
48.74;3;77.88;0;18;2020;8.49;0;0;2;7580450
78.73;1;46.46;1;18;1974;19.16;1;0;4;8245775
50.32;4;28.46;1;6;1953;9.7;1;1;21;9154892
51.89;4;75.88;1;18;1982;10.75;0;0;3;8674960
63.97;1;84.73;1;29;1965;1.35;0;1;2;8815337
54.62;2;111.1;1;1;1981;7.41;0;1;21;9115894
22.45;2;52.53;1;29;1960;5.01;1;1;30;5542371
47.57;5;103.19;1;19;1961;6.25;1;0;22;9088213
39.29;4;43.43;1;7;1971;13.67;1;1;20;8729610
81.8;4;42.29;0;3;2002;2.89;0;0;3;12662382
91.42;5;68.06;1;21;2012;5.83;0;1;26;14306883
37.38;1;75.57;0;17;1971;9.37;1;1;3;5890908
60.73;1;28.21;0;5;2017;4.8;0;0;5;9258830
26.8;5;45.73;0;9;2020;20.57;0;0;18;6249264
69.43;3;34.56;0;9;1960;2.02;0;1;2;10622621
21.97;1;86.66;1;20;1993;1.67;1;0;3;5746966
41.99;2;25.29;0;28;1969;11.41;1;0;17;6296328
60.82;5;45.25;1;22;1991;0.44;0;0;9;10808631
75.37;2;73.59;0;16;2015;17.89;0;0;11;8576330
61.73;3;66.39;0;5;1996;7.41;0;1;29;10088583
60.08;1;47.45;0;8;1960;14.21;0;1;3;8035059
77.44;3;78.22;0;2;1978;19.42;1;0;12;10267380
40.39;4;60.65;0;17;1983;12.68;0;0;20;6874551
64.22;1;36.56;1;8;2010;9.08;1;1;22;9567210
74.74;1;34.62;0;19;1976;6.41;0;0;9;8208655
64.35;3;55.24;0;17;1967;19.23;0;1;15;9020925
62.19;5;36.26;0;5;2024;7.36;1;0;7;11231773
56.84;2;64.54;1;1;2018;8.93;0;1;18;9234461
56.81;3;86.14;0;30;2008;12.94;1;0;24;8341514
57.12;2;40.8;1;2;1969;14.02;0;1;6;8160243
36.98;2;52.96;1;23;1951;2.37;1;0;10;6806014
65.87;3;38.72;1;7;2017;9.01;1;0;22;10228260
95.85;2;59.98;1;19;2014;8.15;0;0;8;11973620
58.76;2;54.92;1;11;2019;12.69;0;1;10;8854783
53.12;3;36.4;0;24;1983;4.03;1;1;21;10243447
60.47;5;49.54;0;23;1953;13.68;0;1;6;9793453
46.18;3;58.74;1;21;1966;13.05;1;0;5;6727025
15.0;2;63.41;1;5;2014;9.8;0;1;14;5114587
69.7;4;48.21;1;15;1977;4.89;0;0;7;10202541
93.95;3;90.34;0;13;1980;5.58;1;0;21;13180005
92.56;4;66.82;1;22;2009;5.89;0;0;15;12771543
60.19;1;38.58;0;17;1963;11.97;1;1;19;8047380
53.18;1;47.95;0;26;2020;11.93;0;0;13;7249307
46.93;1;135.65;0;10;2024;4.83;1;0;19;8014385
