date,home_team,away_team,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,country,neutral_location,home_team_result
1993-08-08,Brazil,Mexico,8,14,0,0,1,1,Brazil,False,Draw
1993-08-15,Australia,Canada,52,46,0,0,2,1,Australia,False,Win
1993-08-15,Uruguay,Brazil,22,8,0,0,1,1,Uruguay,False,Draw
1993-08-22,Brazil,Ecuador,8,35,0,0,2,0,Brazil,False,Win
1993-09-05,Ecuador,Uruguay,35,22,0,0,0,1,Ecuador,False,Lose
1993-09-08,England,Poland,11,20,0,0,3,0,England,False,Win
1993-09-19,Brazil,Uruguay,8,22,0,0,2,0,Brazil,False,Win
1993-09-22,Mexico,Cameroon,14,24,0,0,1,0,USA,True,Win
1993-09-22,Tunisia,Germany,31,1,0,0,1,1,Tunisia,False,Draw
1993-09-23,Saudi Arabia,Costa Rica,44,38,0,0,1,2,Saudi Arabia,False,Lose
1993-09-24,Korea Republic,Australia,36,65,0,0,1,1,Korea Republic,False,Draw
1993-09-26,Korea Republic,Australia,36,65,0,0,1,0,Korea Republic,False,Win
1993-09-27,Saudi Arabia,Costa Rica,44,38,0,0,3,2,Saudi Arabia,False,Win
1993-09-29,Mexico,Poland,16,22,0,0,0,0,USA,True,Draw
1993-10-13,Germany,Uruguay,5,15,0,0,5,0,Germany,False,Win
1993-10-13,Netherlands,England,13,5,0,0,2,0,Netherlands,False,Win
1993-10-13,Portugal,Switzerland,21,10,0,0,1,0,Portugal,False,Win
1993-10-13,USA,Mexico,26,16,0,0,1,1,USA,False,Draw
1993-10-15,Saudi Arabia,Japan,44,43,0,0,0,0,Qatar,True,Draw
1993-10-16,IR Iran,Korea Republic,58,36,0,0,0,3,Qatar,True,Lose
1993-10-18,Japan,IR Iran,43,58,0,0,1,2,Qatar,True,Lose
1993-10-22,Korea Republic,Saudi Arabia,37,46,0,0,1,1,Qatar,True,Draw
1993-10-25,Japan,Korea Republic,44,37,0,0,1,0,Qatar,True,Win
1993-10-28,Saudi Arabia,IR Iran,46,59,0,0,4,3,Qatar,True,Win
1993-10-31,Australia,Argentina,61,9,0,0,1,1,Australia,False,Draw
1993-11-17,Argentina,Australia,9,61,0,0,1,0,Argentina,False,Win
1993-11-17,Germany,Brazil,4,1,0,0,2,1,Germany,False,Win
1993-11-17,Poland,Netherlands,23,6,0,0,1,3,Poland,False,Lose
1993-11-17,Spain,Denmark,7,5,0,0,1,0,Spain,False,Win
1993-12-15,Argentina,Germany,9,3,0,0,2,1,USA,True,Win
